l_orderkey	l_linenumber	l_quantity	l_extendedprice	c_custkey	o_orderstatus
454791	1	40.00	51771.60	1	F
454791	2	13.00	25011.61	1	F
579908	1	33.00	53513.13	1	O
3868359	1	36.00	48649.68	1	F
3868359	2	9.00	14891.76	1	F
3868359	3	32.00	54680.32	1	F
3868359	4	6.00	8732.16	1	F
4273923	1	28.00	33632.76	1	O
4273923	2	42.00	62015.52	1	O
4808192	1	26.00	47080.54	1	O
4808192	2	11.00	17529.27	1	O
5133509	1	28.00	36741.88	1	O
5133509	2	35.00	63199.50	1	O
5133509	3	12.00	23399.76	1	O
5133509	4	33.00	53713.77	1	O
l_extendedprice	l_linenumber	l_orderkey	c_name	c_address	c_custkey	o_orderstatus	c_comment
58182.13	1	3882343	Customer#000149593	RiXpK YQD5d1TNDld3l	149593	F	round the blithely silent foxes cajole carefully special instructions. slyly final accounts wake after the asym
86937.00	2	3894851	Customer#000149722	OnJAdFFEPIkm0Ftskw12C2jepe0hFU	149722	F	ly bold packages integrate carefully. carefully e
70538.85	6	3894851	Customer#000149722	OnJAdFFEPIkm0Ftskw12C2jepe0hFU	149722	F	ly bold packages integrate carefully. carefully e
37034.66	1	3914914	Customer#000149951	02zv4CguDTFyryc	149951	F	ckly. regular foxes above the foxes detect slyly express requests. fluffily unusual theodolites are furiously ca
40948.32	7	3914914	Customer#000149951	02zv4CguDTFyryc	149951	F	ckly. regular foxes above the foxes detect slyly express requests. fluffily unusual theodolites are furiously ca
55351.68	1	3948356	Customer#000149704	Yq1HQJLaEWOOY8TF2GvV0l4wjJnAgav,O	149704	F	slyly even deposits grow blithely? express, final deposits cajole fluffily. u
76373.44	5	3948356	Customer#000149704	Yq1HQJLaEWOOY8TF2GvV0l4wjJnAgav,O	149704	F	slyly even deposits grow blithely? express, final deposits cajole fluffily. u
1397.30	2	4042183	Customer#000149695	JL8X9QdJwfxNI8qsFGLB,CiqVD20hemLKxi84,3	149695	F	sual accounts. quickly final asymptotes wake across the carefully unusual requests. q
45618.36	3	4105063	Customer#000149840	PwrKuaL2yUy1	149840	F	es; carefully unusual somas boos
53757.21	4	4105063	Customer#000149840	PwrKuaL2yUy1	149840	F	es; carefully unusual somas boos
81128.25	1	4163783	Customer#000149897	JFVCLcOAv2	149897	F	counts. packages dazzle slyly alongside of the blithely unusual requests. bold somas maintain fluffily 
16506.16	4	4284870	Customer#000149891	MG34rN1nz6CWiPKA	149891	F	special patterns serve furiously even asymptotes-- s
52636.08	5	4284870	Customer#000149891	MG34rN1nz6CWiPKA	149891	F	special patterns serve furiously even asymptotes-- s
13323.20	1	4292420	Customer#000149611	ZHbldyyaPQyRKWl71mjYKfYVy	149611	F	tes? final, pending accounts believe blithely above the 
37920.63	2	4292420	Customer#000149611	ZHbldyyaPQyRKWl71mjYKfYVy	149611	F	tes? final, pending accounts believe blithely above the 
68774.49	4	4292420	Customer#000149611	ZHbldyyaPQyRKWl71mjYKfYVy	149611	F	tes? final, pending accounts believe blithely above the 
74897.98	2	4318402	Customer#000149854	PVQnsB BgUlEj1SoS9eTGKH0dBspBN	149854	F	quests. quickly final ideas hinder fluf
82080.77	3	4328485	Customer#000149912	eBLgCNO3ay	149912	F	elets integrate. silent deposits sleep
79986.08	4	4363650	Customer#000149728	49rpsqLCBoJCli6DFKGUrxyNewkQ7V9go3v	149728	F	refully about the carefully ironic deposits. blithe courts are. ideas am
18932.48	1	4390374	Customer#000149878	QLOOPmnruhZNd d1d0zxQ,maKMkjt9FsJ	149878	F	nod furiously. accounts use carefully ac
45353.47	1	25351	Customer#000149662	DS,VE6XCq47eiJGGBRN7UNzxW d9,Ev	149662	F	 the ironic, ironic accounts eat carefully about the slyly e
68478.12	1	272896	Customer#000149519	c,CKI ,,IQzJa	149519	F	lets breach according to the caref
11669.16	1	570919	Customer#000149719	K,2zu1bJC5RWce2bzQBvYn TfaJaog	149719	F	unusual instructions against the slyly final requests wake carefully even, final packages. fina
1527.56	1	583171	Customer#000149860	aacc1X3WcDsd4FpqAzSQMRMxgbpxGmD,le,OvSMf	149860	F	. blithely pending pinto beans haggle. blithely reg
7607.50	2	583171	Customer#000149860	aacc1X3WcDsd4FpqAzSQMRMxgbpxGmD,le,OvSMf	149860	F	. blithely pending pinto beans haggle. blithely reg
30311.61	3	583171	Customer#000149860	aacc1X3WcDsd4FpqAzSQMRMxgbpxGmD,le,OvSMf	149860	F	. blithely pending pinto beans haggle. blithely reg
44996.75	1	585155	Customer#000149953	D8AKjiyT0P59LZjLAuk4xy7IttZQmOsk	149953	F	ccounts unwind carefully regula
29233.40	4	811426	Customer#000149959	Kq2qPSkVLxvUV OqydC Fx5kQG	149959	F	he accounts. blithely regular packages believe silent foxes; quietly fi
10698.40	3	875617	Customer#000149986	HyEJpj2jvEqt,,pA50NOvuTP	149986	F	enticingly carefully careful courts. furiously 
23737.95	1	950306	Customer#000149596	NPS85JY3XsOK1Qw9VIt56mW	149596	F	ual platelets eat fluffily regular, unusual requests. regular, regular deposits wake quickly. slyly unusual requests
54160.20	3	1099335	Customer#000149566	ydGCKPRG4s	149566	F	y. slyly final packages nag slyly after the fluffily regular theodolites. foxes nag quickly even pains. bold packag
25272.48	1	1211239	Customer#000149944	3q9tCbkkhna1XI4bHfHW LmcwHXEHc tZWyk	149944	F	structions. quickly regular dolphins haggle blithely acr
62464.80	5	1211239	Customer#000149944	3q9tCbkkhna1XI4bHfHW LmcwHXEHc tZWyk	149944	F	structions. quickly regular dolphins haggle blithely acr
69417.00	6	1331202	Customer#000149947	q2lfER7DtTtBzjHZt4F	149947	F	regular asymptotes. frays boost. blithely ironic accounts boost carefully fluffily even requests. quickly f
7307.24	2	1558309	Customer#000149941	xVa4gMdbeSSHbzGhNJl kifM6NcgAHlO91	149941	F	en theodolites above the blithely fluffy es
31149.60	4	1658501	Customer#000149840	PwrKuaL2yUy1	149840	F	es; carefully unusual somas boos
14941.20	1	2781157	Customer#000149872	PTOzqAf9fN	149872	F	the furiously even foxes impress carefully according to the regular, even dependencies. pinto beans slee
51457.68	3	3046915	Customer#000149849	H2N,dW6sJDd0tnWrcw1cQrsIuIOc6LwardHBIvoU	149849	F	ers: furiously sly sheaves solve slyly ironi
35380.38	3	3250208	Customer#000149854	PVQnsB BgUlEj1SoS9eTGKH0dBspBN	149854	F	quests. quickly final ideas hinder fluf
