l_orderkey	l_quantity	l_extendedprice	c_custkey	c_acctbal	c_nationkey
1364257	31.00	58118.49	346	238.14	2
1565444	3.00	3072.21	346	238.14	2
5593472	13.00	18206.37	656	-390.09	5
5632773	16.00	26731.36	934	-592.69	12
2073893	26.00	30423.90	11	-272.60	23
2135778	28.00	55492.92	692	276.71	19
5967552	18.00	18108.72	331	170.27	5
33701	1.00	1039.12	538	-303.95	19
108292	35.00	63936.60	641	339.49	24
284736	29.00	49552.88	832	-201.49	19
5871490	24.00	32815.68	883	479.96	3
5946916	31.00	37885.72	715	85.05	19
258082	40.00	57614.80	853	-444.73	2
2546150	5.00	8342.85	871	-395.89	20
2589862	30.00	53120.40	64	-646.64	3
2621152	48.00	97053.12	940	253.59	19
2692709	48.00	48050.40	272	-746.03	2
2846115	31.00	31155.62	125	-234.12	19
336835	45.00	50001.75	109	-716.10	16
358691	20.00	29068.20	344	-544.95	2
709287	8.00	15767.68	71	-611.19	7
883555	50.00	57403.00	184	170.46	21
3576322	39.00	52777.53	778	52.43	23
3518468	10.00	13843.20	337	-270.59	0
3883171	14.00	23766.68	358	-44.66	5
3994368	37.00	40520.92	652	-919.65	20
4314403	44.00	66641.96	701	148.98	2
4705921	1.00	1318.25	997	367.03	17
4345668	39.00	62075.13	853	-444.73	2
3507362	26.00	49291.32	206	-274.79	9
1969476	9.00	12802.32	334	-405.91	4
1215749	26.00	34797.36	853	-444.73	2
1272448	14.00	19968.62	715	85.05	19
1423043	42.00	41203.26	820	-614.28	4
4105314	35.00	38784.20	872	-858.61	17
901188	23.00	26568.45	605	-549.73	23
5484581	18.00	18576.00	818	-574.39	20
4857954	1.00	1345.29	754	-566.86	0
3968291	23.00	31195.59	818	-574.39	20
4210179	38.00	46257.40	754	-566.86	0
461120	40.00	70353.60	692	276.71	19
807716	1.00	1120.17	337	-270.59	0
1041858	26.00	37735.36	779	-902.48	5
1053121	11.00	12716.66	293	-43.79	2
1384103	6.00	6757.08	820	-614.28	4
1602404	21.00	30856.98	286	-109.73	22
1610887	46.00	86930.34	580	-181.63	11
1264866	42.00	45995.88	701	148.98	2
1495622	42.00	74290.86	916	130.59	23
2310498	41.00	59757.91	439	-61.29	14
2336581	15.00	27252.90	344	-544.95	2
2462055	37.00	69109.34	569	-795.23	2
2021024	3.00	4459.50	289	-215.75	10
2199552	10.00	18437.60	523	-275.73	10
1312295	49.00	50667.96	880	-77.63	8
2239268	11.00	21063.35	136	-842.39	7
2513122	5.00	5525.85	934	-592.69	12
5963396	34.00	51254.66	344	-544.95	2
128321	29.00	29088.74	832	-201.49	19
455205	15.00	28184.25	778	52.43	23
4990214	36.00	55282.68	478	-210.40	1
3127140	21.00	33338.34	782	-326.32	19
3183844	20.00	37799.40	184	170.46	21
3364322	6.00	11831.70	358	-44.66	5
3475393	11.00	18730.14	580	-181.63	11
1636263	20.00	33935.40	871	-395.89	20
2476323	26.00	32765.46	871	-395.89	20
2596866	37.00	55036.76	358	-44.66	5
5092230	6.00	11224.92	206	-274.79	9
3562631	6.00	12071.76	778	52.43	23
3742659	29.00	35037.80	17	6.34	2
3746787	35.00	51396.80	400	-98.46	14
3842880	35.00	47440.75	286	-109.73	22
1781602	44.00	75756.12	905	-600.73	3
1876000	22.00	39310.04	37	-917.75	8
138657	8.00	10915.44	98	-551.37	12
4213925	17.00	27414.71	818	-574.39	20
4360039	39.00	77567.10	332	-267.09	22
4385696	41.00	61967.81	986	178.73	1
4598117	49.00	85588.79	709	-867.94	18
5387745	50.00	66214.50	871	-395.89	20
1029857	36.00	48900.96	934	-592.69	12
3001284	28.00	45712.52	164	208.45	4
2963301	36.00	46483.92	701	148.98	2
3066243	44.00	52372.32	109	-716.10	16
3406786	18.00	19891.98	422	-272.14	9
3416262	7.00	13824.51	782	-326.32	19
3476679	36.00	38413.44	109	-716.10	16
5919233	30.00	38496.30	788	-330.69	16
3586371	37.00	71256.45	184	170.46	21
1265826	18.00	22468.32	334	-405.91	4
1273895	34.00	67556.30	632	-487.92	3
233089	21.00	30395.61	71	-611.19	7
303008	1.00	1236.14	787	212.16	10
968133	5.00	7437.75	400	-98.46	14
978311	12.00	13657.20	64	-646.64	3
3214789	33.00	64742.04	580	-181.63	11
372965	7.00	10299.80	709	-867.94	18
392646	50.00	69670.00	580	-181.63	11
631911	38.00	69608.02	997	367.03	17
959586	40.00	45603.60	934	-592.69	12
2884772	30.00	41829.90	217	378.33	23
5114787	3.00	4967.01	719	-774.47	15
1635046	36.00	66201.48	641	339.49	24
4391943	9.00	11900.07	187	-774.22	4
4583715	21.00	32960.55	136	-842.39	7
4804260	10.00	18568.00	787	212.16	10
2108839	48.00	64188.48	389	-307.61	9
2228193	31.00	48844.22	350	19.31	15
2568320	4.00	7507.80	832	-201.49	19
3338403	15.00	24730.20	880	-77.63	8
3379363	26.00	27772.16	871	-395.89	20
4950721	44.00	57517.68	37	-917.75	8
4997159	33.00	63986.01	349	-565.35	23
2839203	34.00	49176.92	905	-600.73	3
5620231	45.00	53469.00	463	-654.50	8
4038438	46.00	69624.22	940	253.59	19
4121252	25.00	35284.25	820	-614.28	4
3365379	6.00	8630.40	386	232.01	24
3837218	41.00	73952.11	349	-565.35	23
4542944	35.00	50030.05	463	-654.50	8
1399906	34.00	35360.00	349	-565.35	23
2233222	21.00	37648.80	478	-210.40	1
5074439	20.00	22160.80	934	-592.69	12
2236869	23.00	34994.73	490	-213.85	22
2663586	24.00	27027.84	346	238.14	2
5606918	42.00	75253.08	785	108.14	18
5607265	33.00	52223.82	916	130.59	23
5786118	9.00	16919.46	833	-526.14	6
5832293	23.00	27211.30	272	-746.03	2
3043169	2.00	3989.88	977	311.00	2
139812	9.00	11350.89	692	276.71	19
312643	6.00	11567.58	986	178.73	1
720322	30.00	51023.70	289	-215.75	10
983333	16.00	22375.52	787	212.16	10
1071617	27.00	48244.95	2	121.65	13
1337120	22.00	40938.04	538	-303.95	19
785413	10.00	17878.70	179	-43.08	4
4524292	13.00	15835.69	389	-307.61	9
4607523	21.00	24049.41	350	19.31	15
4635971	36.00	69839.28	709	-867.94	18
3198215	27.00	33026.40	820	-614.28	4
1720227	5.00	8733.75	955	138.31	0
3367716	20.00	29631.40	955	138.31	0
3433058	37.00	62224.38	307	346.59	13
3511621	50.00	93944.00	997	367.03	17
3895781	50.00	77929.50	779	-902.48	5
1795811	20.00	34955.60	787	212.16	10
1915971	4.00	5008.68	349	-565.35	23
2197542	13.00	18895.37	478	-210.40	1
2260550	31.00	59266.42	934	-592.69	12
3993060	19.00	22744.90	184	170.46	21
4389094	28.00	48429.92	652	-919.65	20
4431270	47.00	64878.80	332	-267.09	22
3000576	17.00	27311.69	176	-375.76	13
3178599	47.00	77534.49	109	-716.10	16
3224320	28.00	37923.48	400	-98.46	14
3254818	6.00	10972.98	997	367.03	17
3298243	14.00	22675.24	217	378.33	23
3771557	42.00	57551.34	289	-215.75	10
3603873	5.00	7041.60	754	-566.86	0
3783492	4.00	5581.28	11	-272.60	23
4474052	22.00	39331.16	809	-594.23	16
5042848	30.00	33964.20	538	-303.95	19
5538695	38.00	75197.44	883	479.96	3
5168515	40.00	76915.20	331	170.27	5
5393221	45.00	63153.45	692	276.71	19
2790881	17.00	29558.07	37	-917.75	8
5651585	49.00	63032.62	184	170.46	21
5788486	24.00	33631.68	605	-549.73	23
5820772	22.00	35367.64	820	-614.28	4
5931523	19.00	24364.08	364	32.24	23
4430277	5.00	9048.65	665	-616.79	22
5177123	47.00	56460.63	164	208.45	4
5209094	1.00	1876.88	647	-132.97	1
3465376	27.00	32377.05	37	-917.75	8
3492738	33.00	62500.35	997	367.03	17
3552545	21.00	32202.45	136	-842.39	7
3594017	28.00	53535.16	331	170.27	5
3800355	14.00	17362.24	580	-181.63	11
2439686	3.00	4171.20	488	-275.58	3
2610113	34.00	50407.38	386	232.01	24
2703811	36.00	37730.52	788	-330.69	16
2782659	6.00	7898.28	37	-917.75	8
4472455	34.00	49349.64	458	-38.42	4
5640416	48.00	93694.08	364	32.24	23
5820384	8.00	8416.80	386	232.01	24
281156	16.00	21573.92	820	-614.28	4
288128	47.00	59231.28	883	479.96	3
664067	7.00	11981.76	997	367.03	17
688640	5.00	9519.45	104	-588.38	10
703136	21.00	21799.89	779	-902.48	5
708706	38.00	53367.96	37	-917.75	8
771745	46.00	65565.64	580	-181.63	11
30306	35.00	55950.65	926	274.50	16
908868	6.00	10408.62	548	90.45	4
1198339	17.00	32517.94	37	-917.75	8
1238499	11.00	16384.39	832	-201.49	19
1305056	25.00	34711.00	329	-651.91	11
5666757	45.00	87068.70	715	85.05	19
5681570	33.00	35083.62	955	138.31	0
5764578	30.00	55704.90	307	346.59	13
5772645	43.00	58021.62	346	238.14	2
5809063	33.00	49252.17	176	-375.76	13
5850020	32.00	40102.72	400	-98.46	14
1554336	12.00	23759.28	289	-215.75	10
1803394	13.00	20859.93	709	-867.94	18
777952	25.00	41541.50	490	-213.85	22
1005350	38.00	54017.38	788	-330.69	16
577666	39.00	47278.92	997	367.03	17
798529	17.00	29626.58	548	90.45	4
968480	6.00	7176.96	986	178.73	1
1905763	23.00	36559.19	916	130.59	23
2369412	46.00	89788.32	832	-201.49	19
2930244	32.00	52534.40	853	-444.73	2
4642595	38.00	62423.36	272	-746.03	2
4695490	45.00	86304.60	490	-213.85	22
4799652	12.00	18822.84	329	-651.91	11
4808610	37.00	70741.78	853	-444.73	2
5333605	38.00	57931.76	337	-270.59	0
5424675	32.00	55477.12	754	-566.86	0
5573381	41.00	71701.21	349	-565.35	23
3548134	17.00	24982.01	389	-307.61	9
3974470	48.00	89998.08	719	-774.47	15
4018177	1.00	1748.81	478	-210.40	1
4049859	23.00	25970.91	754	-566.86	0
3769252	46.00	70217.62	176	-375.76	13
4048931	12.00	13104.24	779	-902.48	5
5896001	46.00	69301.30	400	-98.46	14
105187	50.00	84238.50	665	-616.79	22
236545	33.00	60051.42	164	208.45	4
1099779	12.00	12984.24	286	-109.73	22
1416548	50.00	62709.50	307	346.59	13
2005765	20.00	39618.40	331	170.27	5
5003527	24.00	25729.20	125	-234.12	19
5257761	20.00	30828.80	665	-616.79	22
5401923	2.00	2720.64	439	-61.29	14
1574183	22.00	37438.72	880	-77.63	8
2092257	35.00	63905.10	184	170.46	21
849541	20.00	37656.80	652	-919.65	20
1481127	5.00	7642.35	329	-651.91	11
963203	19.00	18716.33	187	-774.22	4
1063622	45.00	84732.30	995	-341.79	13
1355555	10.00	14114.70	136	-842.39	7
1971076	37.00	69665.82	98	-551.37	12
2390433	24.00	22728.96	187	-774.22	4
3236006	39.00	45717.75	778	52.43	23
2147462	8.00	12820.64	523	-275.73	10
2420194	6.00	6096.36	11	-272.60	23
2447271	36.00	41801.40	364	32.24	23
1202788	23.00	33935.81	98	-551.37	12
1402241	25.00	27453.25	997	367.03	17
2195972	35.00	63518.00	986	178.73	1
2365059	19.00	31933.49	473	-202.22	9
4869122	28.00	47733.84	463	-654.50	8
2230919	13.00	20233.98	206	-274.79	9
2308546	33.00	30987.99	523	-275.73	10
2336709	47.00	83558.95	334	-405.91	4
2786307	45.00	49507.20	490	-213.85	22
2920579	14.00	17699.64	272	-746.03	2
3046082	10.00	10880.50	350	19.31	15
3423330	24.00	49342.80	709	-867.94	18
1673923	9.00	9684.72	820	-614.28	4
2025990	14.00	16269.96	490	-213.85	22
2058054	14.00	23278.08	832	-201.49	19
3402657	22.00	41996.68	350	19.31	15
2543393	44.00	80735.16	346	238.14	2
2837575	32.00	43181.44	289	-215.75	10
5566214	7.00	8520.54	926	274.50	16
5619718	33.00	43934.22	64	-646.64	3
5859523	40.00	81077.20	331	170.27	5
3809888	48.00	76057.44	478	-210.40	1
2812546	16.00	26313.76	871	-395.89	20
3001476	19.00	28946.69	832	-201.49	19
3230150	40.00	61542.80	955	138.31	0
4863045	38.00	68014.30	880	-77.63	8
4873894	6.00	9374.76	286	-109.73	22
3433728	45.00	47886.30	64	-646.64	3
3070919	26.00	37007.62	364	32.24	23
3189057	48.00	55833.12	184	170.46	21
3199235	31.00	59981.90	934	-592.69	12
3486209	27.00	34889.40	478	-210.40	1
3049925	2.00	2762.78	400	-98.46	14
3135873	41.00	70669.24	820	-614.28	4
3626982	12.00	24599.52	548	90.45	4
212870	39.00	47668.53	11	-272.60	23
337728	41.00	54254.89	916	130.59	23
3796261	7.00	7722.12	400	-98.46	14
4501284	12.00	16926.00	593	233.51	9
4633632	35.00	52624.25	286	-109.73	22
4748801	25.00	47572.75	872	-858.61	17
4856967	33.00	39243.60	386	232.01	24
1613220	27.00	27353.43	184	170.46	21
1830499	49.00	95105.57	995	-341.79	13
1908386	11.00	21900.67	832	-201.49	19
1943556	5.00	6300.95	853	-444.73	2
1975937	11.00	20800.56	98	-551.37	12
2029248	41.00	43135.69	125	-234.12	19
2220416	12.00	16036.80	997	367.03	17
5926656	15.00	20166.60	71	-611.19	7
5963908	41.00	75964.39	782	-326.32	19
365189	14.00	25827.06	346	238.14	2
450179	12.00	14100.96	523	-275.73	10
953632	21.00	40737.48	820	-614.28	4
1066021	7.00	7364.91	289	-215.75	10
1413824	29.00	36926.86	995	-341.79	13
4189574	46.00	84494.18	551	-334.89	15
4467269	44.00	53069.28	778	52.43	23
1534439	36.00	44863.56	331	170.27	5
1670501	46.00	49134.90	364	32.24	23
1794183	25.00	41689.50	307	346.59	13
5091616	31.00	47542.53	871	-395.89	20
5397029	45.00	81257.40	179	-43.08	4
4812579	50.00	70069.00	439	-61.29	14
4904646	45.00	44418.60	997	367.03	17
5507463	46.00	44896.92	187	-774.22	4
2961252	27.00	47458.98	665	-616.79	22
254595	8.00	11643.92	940	253.59	19
287366	31.00	63611.69	41	270.95	10
707974	18.00	23926.32	346	238.14	2
3207970	34.00	40026.50	940	253.59	19
3343939	50.00	68569.50	538	-303.95	19
5368967	20.00	21301.80	350	19.31	15
5788550	37.00	68959.49	128	-986.96	4
3952871	41.00	79826.59	779	-902.48	5
4039907	6.00	10066.32	331	170.27	5
4079301	38.00	40547.52	548	90.45	4
4180869	49.00	55423.41	349	-565.35	23
4300805	12.00	16841.16	782	-326.32	19
4033607	34.00	66570.30	986	178.73	1
4195010	21.00	28755.72	293	-43.79	2
4204389	12.00	14607.12	136	-842.39	7
4480295	41.00	49334.89	350	19.31	15
5970243	17.00	22460.91	832	-201.49	19
26722	24.00	39592.08	307	346.59	13
77665	31.00	42231.61	184	170.46	21
294624	48.00	70297.92	389	-307.61	9
520707	11.00	20580.01	709	-867.94	18
4839776	44.00	65578.92	109	-716.10	16
4867808	23.00	43098.32	787	212.16	10
4899943	12.00	16721.40	109	-716.10	16
4582210	45.00	81126.00	478	-210.40	1
4630147	32.00	55156.80	125	-234.12	19
4768165	29.00	50977.36	272	-746.03	2
5052517	19.00	30583.35	400	-98.46	14
5389280	46.00	54337.96	389	-307.61	9
5489761	38.00	51347.88	286	-109.73	22
5553061	13.00	20991.10	872	-858.61	17
795396	48.00	84520.32	217	378.33	23
1119683	16.00	19122.88	782	-326.32	19
5650368	50.00	58754.50	47	274.58	2
5998850	23.00	39873.72	853	-444.73	2
1508390	10.00	15814.80	820	-614.28	4
1558113	12.00	21380.16	787	212.16	10
1798944	22.00	39308.50	593	233.51	9
688514	16.00	20067.20	346	238.14	2
716583	22.00	22222.20	187	-774.22	4
1406820	29.00	52283.81	11	-272.60	23
5939552	29.00	32544.09	832	-201.49	19
74052	12.00	16563.96	473	-202.22	9
2245735	36.00	55384.92	632	-487.92	3
485985	3.00	3000.24	832	-201.49	19
787045	18.00	21621.06	916	130.59	23
859235	23.00	23138.92	37	-917.75	8
1026757	13.00	16097.12	187	-774.22	4
2747175	12.00	20240.64	997	367.03	17
2948738	16.00	26122.56	184	170.46	21
3003584	47.00	81909.72	995	-341.79	13
1119462	35.00	62259.75	329	-651.91	11
2879648	25.00	41468.50	652	-919.65	20
3238020	35.00	64147.65	809	-594.23	16
3352611	20.00	29988.00	98	-551.37	12
3271300	27.00	45569.52	934	-592.69	12
3332194	5.00	8848.60	548	90.45	4
888448	4.00	3796.08	329	-651.91	11
981415	15.00	23152.95	307	346.59	13
4022406	22.00	38626.28	286	-109.73	22
4129894	4.00	5069.20	955	138.31	0
4198886	42.00	77907.48	538	-303.95	19
4336868	42.00	61337.64	692	276.71	19
4411141	19.00	32179.54	787	212.16	10
4703073	43.00	57589.90	715	85.05	19
4781156	39.00	50281.92	652	-919.65	20
4796417	9.00	9360.27	439	-61.29	14
2566276	9.00	12730.32	955	138.31	0
2713956	6.00	6174.72	787	212.16	10
3577952	32.00	48851.84	871	-395.89	20
3732196	45.00	60046.20	37	-917.75	8
4904646	33.00	50802.84	997	367.03	17
5398819	19.00	27918.22	926	274.50	16
201891	45.00	64186.20	832	-201.49	19
549445	34.00	69359.32	206	-274.79	9
5443744	13.00	19987.76	439	-61.29	14
5531975	48.00	69144.96	538	-303.95	19
5749251	43.00	75924.67	986	178.73	1
4279808	6.00	10858.44	934	-592.69	12
4845669	36.00	68144.04	934	-592.69	12
4928672	2.00	2464.26	187	-774.22	4
5868193	24.00	35941.68	641	339.49	24
15395	36.00	46128.96	331	170.27	5
399941	6.00	10889.40	647	-132.97	1
1553669	17.00	18141.04	286	-109.73	22
1679968	30.00	54894.60	832	-201.49	19
1694306	20.00	23322.80	490	-213.85	22
1706469	19.00	29328.02	997	367.03	17
2094531	18.00	36880.92	272	-746.03	2
5228035	5.00	8808.55	523	-275.73	10
5363457	6.00	11399.58	187	-774.22	4
2562244	46.00	82147.26	778	52.43	23
2328901	50.00	71326.00	337	-270.59	0
2735431	43.00	54277.18	383	-849.44	2
5861575	24.00	43820.16	272	-746.03	2
5994534	18.00	24487.92	176	-375.76	13
96070	25.00	51424.50	176	-375.76	13
4488097	23.00	26132.14	787	212.16	10
4673348	43.00	84877.27	478	-210.40	1
4798433	10.00	18108.20	349	-565.35	23
529472	46.00	82329.88	463	-654.50	8
613095	36.00	41407.56	307	346.59	13
715362	25.00	38363.75	779	-902.48	5
440964	46.00	49549.82	47	274.58	2
575077	43.00	67666.52	818	-574.39	20
598208	40.00	75078.40	187	-774.22	4
803750	8.00	14742.08	179	-43.08	4
5228454	39.00	49888.41	37	-917.75	8
5415174	22.00	39375.16	217	378.33	23
5187169	29.00	54081.81	997	367.03	17
5437410	25.00	36160.50	788	-330.69	16
1559395	21.00	31278.66	217	378.33	23
953857	27.00	51784.92	490	-213.85	22
1055746	23.00	32830.43	955	138.31	0
1173090	3.00	3846.57	257	-339.85	7
1276965	5.00	8337.85	368	84.72	22
1476964	39.00	66798.81	368	84.72	22
806436	35.00	51644.95	704	441.44	9
2008518	13.00	21068.32	880	-77.63	8
2165089	22.00	40673.38	293	-43.79	2
5377056	2.00	2390.22	926	274.50	16
1147105	40.00	48171.20	916	130.59	23
1563139	20.00	22904.40	400	-98.46	14
1762691	14.00	25378.50	883	479.96	3
2131236	38.00	44274.56	754	-566.86	0
2854150	2.00	3381.40	934	-592.69	12
2294179	21.00	33107.76	656	-390.09	5
2394657	12.00	23507.88	187	-774.22	4
2565285	33.00	59954.07	641	339.49	24
3402851	34.00	42575.48	709	-867.94	18
3499813	25.00	29005.75	538	-303.95	19
3738119	19.00	33377.87	551	-334.89	15
3821668	41.00	39895.46	940	253.59	19
2868385	10.00	10321.00	593	233.51	9
4646881	1.00	1036.09	136	-842.39	7
4755008	19.00	29290.21	715	85.05	19
3246885	13.00	15876.12	782	-326.32	19
265540	43.00	75200.12	809	-594.23	16
437285	41.00	62257.27	184	170.46	21
4793058	28.00	45234.84	176	-375.76	13
4966081	18.00	23638.50	332	-267.09	22
3949027	3.00	3297.09	788	-330.69	16
4142981	34.00	45502.20	872	-858.61	17
4399011	6.00	6462.42	940	253.59	19
